Channel	Metal	Protein	Concentration (ug/ml)	Clone	biological?
113	In	Ter119	3	TER119	0
115	In	CD45	3	30-F11	1
139	La	Ly6G	1.5	1A8	1
140	Ce	IgD	2.5	11-26c.2a	1
141	Pr	CD16/32	6	2.4G2	1
142	Nd	CD49b	0.1875	HMα2	1
143	Nd	CD11c	0.75	HL3	1
144	Nd	PyMT	3	PyMT	1
145	Nd	CD27	2.8	LG.3A10	1
146	Nd	CD138	1.5	281-2	1
147	Sm	PD-L1	3	10F.9G2	1
148	Nd	CD103	2.4	2E7	1
149	Sm	SiglecF	1.5	E50-2440	1
150	Nd	PDCA-1	1.5	120g8	1
151	Eu	Ly6C	0.1875	HK1.4	1
152	Sm	Ki67	1.5	SolA15	1
153	Eu	CD11b	0.75	M1/70	1
154	Sm	cKit	1.5	2B8	1
155	Gd	CD8	0.1875	53-6.7	1
156	Gd	CD4	0.1875	RM4-5	1
157	Gd	CD3	1.5	17A2	1
158	Gd	PD-1	3	29F.1A12	1
159	Tb	B220	1.5	RA3-6B2	1
160	Gd	NK1.1	6	PK136	1
161	Dy	T-bet	2	04-46	1
162	Dy	TCRgd	1.5	GL3	1
163	Dy	CD62L-FITC	3.5	MEL-14	1
164	Dy	CD86	0.75	GL-1	1
165	Ho	CD69	6	H1.2F3	1
166	Er	FcER1a	0.1875	MAR-1	1
167	Er	Foxp3	3	NRRF-30	1
168	Er	RORgt	1.5	B2D	1
169	Tm	F4/80	1.5	BM8	1
170	Er	CD115	3	AFS98	1
171	Yb	CD64	6	X54-5/7.1	1
172	Yb	KLRG1	0.75	2F1	1
173	Yb	CD19	0.75	6D5	1
174	Yb	IgM	2.25	RMM-1	1
175	Lu	CD44	0.1875	IM7	1
176	Yb	CD90	0.5	G7	1
209	Bi	MHC	0.75	M5/114.15.2	1
